@relation 'mutationvariants-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute KOSJ950102 numeric
@attribute KOSJ950107 numeric
@attribute KOSJ950112 numeric
@attribute GENE_FAMILY numeric
@attribute class {pathogenic,benign,conflicting,risk,unknown}

@data
0,0,0,13030,pathogenic
0,0,0,9008,pathogenic
4.2,1.2,0.5,6617,pathogenic
0.5,0.1,0.1,3603,pathogenic
0.5,0.9,0.5,3049,benign
59,72.3,58.8,3438,benign
0.5,0.8,0.1,6547,pathogenic
4.6,6.2,3.9,2976,benign
49.8,67.3,57.1,4042,benign
49.8,67.3,57.1,4042,benign
1.7,1.7,3.4,8943,benign
0.5,0.9,0.5,8943,benign
0.1,0.1,0.3,8943,benign
0.5,0.1,0.1,3604,benign
0.4,1.1,2.7,492,benign
0,0,0,10585,pathogenic
2.3,8.3,9.4,12403,benign
2.6,0.4,0.8,4827,benign
0,0,0,19747,pathogenic
0.5,0.1,0.5,2348,benign
58.5,78.1,66.7,12363,benign
49.8,67.3,57.1,6547,benign
0.1,0.3,0.1,89,pathogenic
0,0,0,3748,pathogenic
7.8,0.8,0.1,4837,benign
0,0,0,6547,pathogenic
0.1,0.3,0.2,14374,benign
0.1,0.1,0.1,4261,benign
1.5,0.1,0.7,7573,benign
0.1,0.1,0,6547,pathogenic
2.3,8.3,9.4,2953,benign
0,0,0,2019,pathogenic
1.5,0.1,0.7,26560,pathogenic
0.6,0.9,0.5,2213,pathogenic
49.8,67.3,57.1,12338,benign
0.1,0.1,0.4,26113,benign
0.3,1.7,2,14450,benign
0.1,0.1,0.4,12403,pathogenic
0.1,0.1,1.7,8512,pathogenic
1.4,0.1,0.9,7613,benign
0.5,0.9,0.5,16393,benign
0.1,0.1,1.7,7230,pathogenic
5.7,0.1,1.9,12762,benign
0.1,0.3,1,6636,pathogenic
0.1,0.1,0.5,23109,pathogenic
0.1,4.3,3.2,4082,benign
0.1,0.6,0.3,1100,benign
0.1,0.1,0.5,27561,benign
0,0,0,795,pathogenic
0.1,4.3,3.2,7739,pathogenic
0.1,0.1,0.8,9871,benign
4.2,1.2,0.5,25751,benign
0.5,0.1,0.5,10597,benign
5.7,0.1,1.9,2074,benign
0.7,0.1,0.6,1912,benign
4.6,6.2,3.9,3354,benign
3,0.3,0.1,4700,benign
4.6,6.2,3.9,14674,pathogenic
5.7,0.1,1.9,9177,pathogenic
0.1,0.1,1.7,26594,benign
0.5,0.8,0.1,24565,benign
0.5,0.1,0.5,13433,benign
49.8,67.3,57.1,17084,benign
0,0,0,4166,pathogenic
0.5,0.8,0.1,9871,benign
0.1,0.3,0.1,6547,pathogenic
1.4,0.1,0.9,10596,pathogenic
0.1,0.3,1,3583,benign
3,0.3,0.1,10294,pathogenic
0.3,1.7,2,12305,benign
0.1,0.1,0.2,6547,pathogenic
0.1,0.1,0.3,10294,pathogenic
4.2,1.2,0.5,10879,benign
0.5,0.1,0.1,753,pathogenic
2.6,0.4,0.8,21056,benign
0.3,1.7,2,6460,benign
0.8,1.7,1,33882,pathogenic
4.6,6.2,3.9,24565,benign
0.9,1.7,1.2,14234,benign
0.8,1.7,1,13797,benign
49.8,67.3,57.1,33867,benign
0.1,1.5,0.9,6547,pathogenic
0.1,0.4,0.1,6296,pathogenic
0.1,0.3,0.2,5320,benign
82.8,91.5,77.9,12304,benign
49.8,67.3,57.1,12304,benign
0.1,0.1,0.4,12304,benign
0.5,0.8,0.1,9508,pathogenic
0.8,1.7,1,23399,benign
4.6,6.2,3.9,4006,benign
66.4,71.2,60.6,7450,benign
4.6,6.2,3.9,7,benign
0.3,1.7,2,404,pathogenic
0.1,0.1,2.3,10892,benign
0.5,0.1,0.1,2577,benign
0.1,0.1,0.1,7576,pathogenic
0.1,0.1,0.5,29812,pathogenic
0.1,0.1,1.7,3749,pathogenic
0.1,0.1,1.7,6902,benign
0.1,0.1,0.4,12601,pathogenic
0.1,0.3,0.2,333,benign
0,0,0,28880,pathogenic
0.5,0.1,0.5,12363,benign
0.9,1.7,1.2,8803,benign
1.7,1.7,3.4,8803,benign
0.1,0.3,1,57,pathogenic
59,72.3,58.8,2186,pathogenic
49.8,67.3,57.1,8803,benign
0.1,0.3,1,57,pathogenic
0,0,0,16068,pathogenic
49.8,67.3,57.1,11740,benign
0.1,0.3,1,25774,pathogenic
0.9,1.7,1.2,17870,benign
0.1,0.1,0.2,21350,benign
1.5,0.1,0.7,12363,pathogenic
0.5,0.1,0.5,14544,benign
66.4,71.2,60.6,7577,pathogenic
0.1,0.1,0.8,175,pathogenic
0,0,0,795,pathogenic
0,0,0,8011,pathogenic
0.9,1.7,1.2,15999,pathogenic
2.1,5.9,1.7,2928,benign
0.1,4.3,3.2,26901,benign
2.1,5.9,1.7,10588,benign
58.5,78.1,66.7,2213,benign
0,0,0,2330,pathogenic
0.1,1.1,0.4,6937,pathogenic
59,72.3,58.8,6231,benign
0.1,0.1,1.7,26401,pathogenic
0.8,1.7,1,7579,benign
0.1,0.3,0.2,3603,benign
1.5,0.1,0.7,27310,pathogenic
0.5,0.9,0.5,3473,pathogenic
0.1,0.1,1.7,795,benign
0.5,0.9,0.5,17104,benign
3,0.3,0.1,8785,benign
0.1,0.1,1.7,882,benign
0.4,1.1,2.7,882,benign
0.1,0.1,0.1,12363,benign
0.1,1.5,0.9,12340,benign
4.6,6.2,3.9,1014,benign
0.1,0.3,0.8,4162,benign
82.8,91.5,77.9,3097,pathogenic
0.9,1.7,1.2,10681,pathogenic
7.8,0.8,0.1,15710,benign
0,0,0,969,pathogenic
0.5,0.1,0.5,21061,benign
0,0,0,12403,pathogenic
0.5,0.1,0.5,1541,pathogenic
0,0,0,6826,pathogenic
0.1,0.1,0.4,10922,benign
4.6,6.2,3.9,4976,pathogenic
0.5,0.1,0.1,25396,benign
0.1,0.3,0.1,12816,benign
0.1,0.1,0.2,6547,pathogenic
0.8,1.7,1,1301,benign
4.6,6.2,3.9,7329,pathogenic
0.1,0.3,0.2,27337,benign
82.8,91.5,77.9,6371,pathogenic
0.1,4.3,3.2,40,benign
0.1,0.3,1,5964,benign
0.9,1.7,1.2,5964,benign
3,0.3,0.1,16068,benign
0.1,0.1,1.7,26724,pathogenic
0.5,0.1,0.5,16068,benign
0.1,0.1,1.7,18791,benign
4.6,6.2,3.9,16068,benign
5.7,0.1,1.9,16068,benign
0.1,0.1,0.8,10585,pathogenic
7.8,0.8,0.1,8806,pathogenic
49.8,67.3,57.1,11187,benign
0.1,0.1,1.7,2212,benign
0.1,0.1,1.7,2212,benign
1.5,0.1,0.7,2942,benign
0.3,1.7,2,2212,benign
0.8,1.7,1,3974,benign
0.1,0.1,0.8,31371,pathogenic
4.6,6.2,3.9,17416,benign
1.5,0.1,0.7,11603,benign
0,0,0,10959,pathogenic
0.1,0.1,1.7,166,benign
0.5,0.9,0.5,8082,benign
0.1,0.3,1,6547,benign
1.4,0.1,0.9,12403,pathogenic
0.1,0.1,0.7,10585,pathogenic
0.1,0.1,1.7,6137,benign
0,0,0,2183,pathogenic
1.4,0.1,0.9,7605,benign
49.8,67.3,57.1,1965,benign
1.5,0.1,0.7,1101,pathogenic
0.1,4.3,3.2,92,pathogenic
0.5,0.9,0.5,2902,benign
0.1,0.3,0.8,2873,pathogenic
0.5,0.9,0.5,7892,benign
59,72.3,58.8,4061,benign
0.1,0.1,0.4,10585,pathogenic
0.1,0.3,0.2,6024,benign
0.1,0.1,0.8,11584,pathogenic
0.1,0.3,1,2435,benign
0,0,0,21575,pathogenic
0.1,0.3,0.2,19960,benign
0.9,1.7,1.2,11654,benign
0.9,1.7,1.2,11497,pathogenic
1.5,0.1,0.7,4061,benign
1.7,1.7,3.4,8785,pathogenic
0.1,0.4,0.1,10585,pathogenic
0,0,0,2153,pathogenic
0,0,0,29536,pathogenic
0.1,4.3,3.2,6694,benign
0,0,0,1078,pathogenic
58.5,78.1,66.7,18621,benign
58.5,78.1,66.7,9177,benign
0.1,1.5,0.8,11582,benign
58.5,78.1,66.7,7468,benign
0.1,0.3,1,1514,pathogenic
0.8,1.7,1,7594,pathogenic
0.5,0.1,0.5,904,pathogenic
0.5,0.8,0.1,13601,pathogenic
0.1,0.1,0.5,2330,benign
0.5,0.1,0.1,11474,benign
0.1,0.1,0.1,29186,benign
0,0,0,28086,pathogenic
0.1,0.1,0.5,4799,pathogenic
0,0,0,8941,pathogenic
0.6,0.9,0.5,2185,benign
0.6,0.9,0.5,6186,pathogenic
0.5,0.1,0.1,8516,pathogenic
0,0,0,10585,pathogenic
0.1,0.1,0.4,8515,benign
0.1,0.1,0.1,2213,pathogenic
0.1,0.3,0.2,7067,benign
0,0,0,3702,pathogenic
0,0,0,29357,pathogenic
0.1,0.1,0.4,8516,benign
0.5,0.1,0.5,11776,benign
0.1,0.6,0.3,6251,pathogenic
0.5,0.8,0.1,17997,pathogenic
0.4,1.1,2.7,24565,pathogenic
0.1,0.1,1.7,17272,pathogenic
0.1,1.5,0.8,30372,benign
0.1,0.1,1.7,23168,benign
0.1,0.3,0.2,17089,pathogenic
0.5,0.9,0.5,5172,benign
0.1,0.1,0.5,8487,benign
2.8,0.1,3.6,10585,pathogenic
58.5,78.1,66.7,7720,benign
2,2.6,2.7,26090,benign
0.1,0.3,1,13273,pathogenic
1.5,0.1,0.7,7526,benign
0.1,0.1,1.7,12762,pathogenic
0.1,0.1,0.2,3603,pathogenic
1.5,0.1,0.7,26090,benign
0,0,0,8860,pathogenic
0.5,0.1,0.5,1550,benign
5.7,0.1,1.9,8860,pathogenic
2.4,0.1,3.9,4801,benign
0.1,1.8,0.7,904,pathogenic
0,0,0,6481,pathogenic
0.1,0.1,1.7,14234,pathogenic
0.5,0.1,0.5,4006,benign
0,0,0,11411,pathogenic
0.1,0.3,0.1,30000,benign
0.1,0.1,0.5,10585,pathogenic
0,0,0,967,pathogenic
0.3,1.7,2,2464,benign
5.7,0.1,1.9,1078,pathogenic
2.1,5.9,1.7,16974,benign
0.1,0.1,1.7,12726,benign
0.5,0.1,0.1,407,pathogenic
0.1,0.3,1,5542,pathogenic
0.1,4.3,3.2,6490,benign
59,72.3,58.8,6490,benign
0.1,0.1,0.2,5273,benign
4.6,6.2,3.9,5273,benign
0.1,0.1,1.7,5273,benign
4.6,6.2,3.9,29090,benign
5.7,5.8,4.9,5273,benign
5.7,0.1,1.9,13394,pathogenic
0.3,1.7,2,6463,pathogenic
0.1,0.1,1.7,5273,benign
0.1,4.3,3.2,9414,benign
0.3,1.7,2,4922,pathogenic
0.1,1.1,0.4,15673,pathogenic
0.5,0.9,0.5,11023,pathogenic
0.3,1.7,2,1097,benign
5.7,0.1,1.9,6484,benign
0,0,0,6207,pathogenic
0.1,0.1,0.3,5028,pathogenic
0.1,0.6,0.2,7720,pathogenic
0.1,0.3,1,4180,benign
1.5,0.1,0.7,950,pathogenic
4.6,6.2,3.9,735,benign
5.7,5.8,4.9,25915,pathogenic
3,0.3,0.1,17084,benign
0.1,0.1,0.4,8941,benign
0.8,1.7,1,124,benign
0.1,0.6,0.3,7601,pathogenic
0,0,0,4421,pathogenic
0.1,0.3,1,12373,pathogenic
0.4,1.1,2.7,2464,benign
0.1,0.1,0.8,4817,pathogenic
49.8,67.3,57.1,8804,benign
0.5,0.1,0.5,3373,benign
1.7,1.7,3.4,3052,benign
1.7,1.7,3.4,952,benign
5.7,0.1,1.9,10882,benign
0.4,1.1,2.7,4171,pathogenic
0.1,0.1,0,26291,pathogenic
0.1,0.1,0.4,11280,benign
58.5,78.1,66.7,1748,pathogenic
1.4,0.1,0.9,3151,benign
0,0,0,24624,pathogenic
5.7,0.1,1.9,1122,pathogenic
0.1,0.1,1.7,18865,pathogenic
0.1,1.8,0.7,1833,benign
4.6,6.2,3.9,6932,benign
0,0,0,10585,pathogenic
0.1,0.3,0.2,6929,benign
0.5,0.9,0.5,2195,benign
0.1,0.6,0.2,17861,pathogenic
0,0,0,20730,pathogenic
0.5,0.1,0.5,6990,benign
0.5,0.1,0.5,10582,benign
0.5,0.1,0.5,12363,pathogenic
5.7,0.1,1.9,14674,pathogenic
0.1,0.1,0.9,7029,benign
5.7,0.1,1.9,7468,benign
0,0,0,7010,pathogenic
0.8,1.7,1,13797,benign
0.1,0.1,1.7,1388,pathogenic
0.1,0.3,1,2204,pathogenic
0,0,0,30074,pathogenic
0.1,0.3,0.8,19042,benign
0,0,0,21708,pathogenic
0.1,0.1,0.2,6413,pathogenic
1.4,0.1,0.9,12362,pathogenic
5.7,0.1,1.9,5959,pathogenic
0.1,0.3,0.1,11272,benign
0.5,0.1,0.5,30224,pathogenic
1.7,1.7,3.4,18672,benign
0,0,0,4580,pathogenic
0.1,0.1,0.8,11191,benign
2.3,8.3,9.4,7577,pathogenic
0,0,0,11602,pathogenic
0.1,0.1,0.2,12362,pathogenic
49.8,67.3,57.1,30129,pathogenic
0.1,0.4,0.1,30129,pathogenic
0.1,0.1,0.8,14263,pathogenic
0.1,0.1,0.1,4851,pathogenic
46.5,78.9,56.8,11546,pathogenic
5.7,5.8,4.9,11546,pathogenic
0.5,0.1,0.5,857,pathogenic
1.4,0.1,0.9,13128,pathogenic
2.1,5.9,1.7,10410,pathogenic
4.6,6.2,3.9,12519,pathogenic
0.1,0.1,0.2,851,pathogenic
58.5,78.1,66.7,30539,pathogenic
1.4,0.1,0.9,33882,pathogenic
1.4,0.1,0.9,15924,benign
1.4,0.1,0.9,7551,pathogenic
0.4,1.1,2.7,6547,pathogenic
0.1,0.1,0.5,29203,benign
0.1,0.1,0.2,4620,benign
49.8,67.3,57.1,6547,pathogenic
0.1,0.1,0.5,6547,pathogenic
0.1,0.4,0.1,7328,pathogenic
0,0,0,13937,pathogenic
0,0,0,21484,pathogenic
58.5,78.1,66.7,11583,pathogenic
0.5,0.1,0.5,10585,pathogenic
1.5,0.1,0.7,2328,pathogenic
0.1,0.3,1,12762,pathogenic
0.1,0.1,0.3,12703,pathogenic
5.7,0.1,1.9,33,pathogenic
0,0,0,12403,pathogenic
0.5,0.9,0.5,2208,pathogenic
0.5,0.9,0.5,11005,pathogenic
0.1,0.1,0.8,3438,benign
0.1,0.1,0.1,7108,benign
0.1,0.1,0.2,7108,benign
1.5,0.1,0.7,26144,pathogenic
5.7,0.1,1.9,3497,benign
2.4,0.1,3.9,6547,pathogenic
1.5,0.1,0.7,2183,pathogenic
8.4,11.7,7.5,2187,benign
0.1,0.1,1.7,9009,pathogenic
0.1,0.1,0.4,2187,benign
0.5,0.1,0.5,2187,benign
1.4,0.1,0.9,34383,benign
0,0,0,7660,pathogenic
0.1,0.3,0.1,10968,benign
0.1,0.1,0.1,1101,pathogenic
1.5,0.1,0.7,11654,benign
0.6,0.9,0.5,18712,pathogenic
0.1,1.5,0.9,17089,benign
0.8,1.7,1,2206,pathogenic
58.5,78.1,66.7,8515,benign
0.1,0.3,0.8,1951,benign
8.4,11.7,7.5,23246,benign
49.8,67.3,57.1,2212,benign
49.8,67.3,57.1,11654,benign
0,0,0,6547,pathogenic
0.3,1.7,2,61,pathogenic
0.1,0.1,1.7,13733,benign
0.5,0.9,0.5,2548,benign
2.1,5.9,1.7,225,benign
0.6,0.9,0.5,9957,pathogenic
0.6,0.1,1,6547,pathogenic
0,0,0,16873,pathogenic
0.1,0.1,0.2,7577,pathogenic
0.9,1.7,1.2,10257,pathogenic
0.5,0.1,0.1,11120,benign
0.1,0.1,1.7,4803,pathogenic
0.1,4.3,3.2,7720,pathogenic
1.4,0.1,0.9,11120,benign
0.5,0.1,0.1,986,pathogenic
49.8,67.3,57.1,17282,benign
0.1,0.3,1,11120,benign
0.1,0.4,0.5,23215,pathogenic
0.4,1.1,2.7,11875,benign
0.1,0.1,0.4,6547,pathogenic
0.1,0.3,1,11445,benign
0.5,0.9,0.5,11445,pathogenic
0,0,0,4512,pathogenic
0.5,0.9,0.5,17582,benign
0.5,0.1,0.1,8808,benign
0.6,0.1,1,11051,benign
0.1,1.5,0.8,11051,benign
0.1,4.3,3.2,11051,benign
0.1,0.1,0.2,1958,benign
1.5,0.1,0.7,6547,benign
0.1,4.3,3.2,14270,benign
0.6,0.9,0.5,4220,benign
2.3,8.3,9.4,10402,pathogenic
1.5,0.1,0.7,6990,pathogenic
0,0,0,23789,pathogenic
0.8,1.7,1,25568,benign
58.5,78.1,66.7,31371,pathogenic
49.8,67.3,57.1,12338,benign
0.6,0.9,0.5,18618,pathogenic
0.1,0.1,1.7,10912,pathogenic
4.6,6.2,3.9,7881,benign
0,0,0,7897,pathogenic
0.5,0.9,0.5,11051,benign
2.8,0.1,3.6,11051,benign
0.1,0.3,1,2202,pathogenic
0.7,0.1,0.2,1514,pathogenic
4.2,1.2,0.5,11204,pathogenic
0.5,0.1,0.5,6323,benign
0.5,0.9,0.5,583,benign
3,0.3,0.1,6484,benign
0.6,0.9,0.5,6484,benign
0.1,0.1,0.5,19048,pathogenic
4.6,6.2,3.9,12791,benign
1.7,1.7,3.4,6547,pathogenic
49.8,67.3,57.1,3776,benign
1.4,0.1,0.9,9816,benign
0.1,1.5,0.8,12637,benign
2.1,5.9,1.7,8768,pathogenic
0.1,0.3,1,45,benign
0,0,0,6929,pathogenic
0.1,0.3,1,4174,benign
0.1,0.1,0,7590,pathogenic
0.5,0.1,0.1,23336,benign
58.5,78.1,66.7,17089,benign
59,72.3,58.8,4319,benign
0.5,0.1,0.5,8148,pathogenic
0.8,1.7,1,29203,pathogenic
0.1,1.5,0.9,7606,benign
0.1,0.1,0.3,4827,benign
0,0,0,7594,pathogenic
0.1,0.1,0.4,445,benign
7.8,0.8,0.1,603,pathogenic
0.4,1.1,2.7,30539,benign
0.1,0.1,0.3,8008,pathogenic
0.1,4.3,3.2,26190,benign
0.1,0.1,0.4,30539,benign
0.5,0.1,0.5,4553,benign
1.4,0.1,0.9,29216,benign
0.8,1.7,1,3373,benign
1.9,2.7,3.6,13733,pathogenic
5.7,0.1,1.9,18828,benign
0,0,0,6547,pathogenic
0,0,0,14674,pathogenic
4.2,1.2,0.5,6547,pathogenic
0.1,4.3,3.2,15464,benign
0,0,0,26144,pathogenic
0.1,4.3,3.2,4053,benign
0.8,1.7,1,25902,benign
0.5,0.1,0.1,14540,benign
0.1,0.3,1,23594,pathogenic
0,0,0,20502,pathogenic
2.8,0.1,3.6,34,pathogenic
1.4,0.1,0.9,6486,benign
0.3,1.7,2,6547,pathogenic
0.1,0.1,1.7,14673,benign
0.1,0.3,0.2,7613,benign
0.5,0.1,0.5,9359,pathogenic
4.6,6.2,3.9,6180,pathogenic
0.1,0.1,0.3,92,benign
0.1,0.3,0.1,92,benign
0.3,1.7,2,92,benign
0.1,0.3,0.2,28486,pathogenic
0.3,1.7,2,9177,pathogenic
0.1,0.3,0.1,18744,benign
0.1,0.3,1,1318,benign
0.1,0.1,0.4,30264,pathogenic
0.1,0.1,1.7,1101,benign
0.1,0.3,0.2,5389,pathogenic
0.6,0.9,0.5,34,pathogenic
0.3,1.7,2,2950,benign
1.7,1.7,3.4,1318,benign
58.5,78.1,66.7,11098,benign
4.6,6.2,3.9,1059,benign
1.4,0.1,0.9,14540,benign
0.1,0.1,0.2,9751,pathogenic
0.5,0.1,0.1,19194,benign
0.1,0.1,1.7,12362,pathogenic
0.1,4.3,3.2,9644,pathogenic
49.8,67.3,57.1,10825,pathogenic
1.5,0.1,0.7,9024,benign
0.5,0.8,0.1,3049,benign
4.6,6.2,3.9,3049,benign
0.3,1.7,2,6442,pathogenic
0.5,0.1,0.1,7707,pathogenic
66.4,71.2,60.6,18155,benign
0,0,0,7871,pathogenic
0.5,0.1,0.5,7527,pathogenic
0.1,0.3,1,4817,pathogenic
0.1,0.1,0.7,6547,pathogenic
0.1,0.1,0.5,10483,pathogenic
0.1,0.3,0.2,2218,benign
0.1,4.3,3.2,2209,benign
0.5,0.9,0.5,10597,benign
0,0,0,19165,pathogenic
5.7,0.1,1.9,3603,pathogenic
1.5,0.1,0.7,4620,benign
0.3,1.7,2,4177,pathogenic
0.1,0.4,0.1,26200,pathogenic
0,0,0,20626,pathogenic
0.1,0.1,0.5,6091,pathogenic
0,0,0,20323,pathogenic
8.4,11.7,7.5,10818,pathogenic
0,0,0,10923,pathogenic
0.1,0.3,1,321,benign
0.5,0.1,0.1,7448,benign
1.4,0.1,0.9,4162,benign
59,72.3,58.8,2200,benign
1.4,0.1,0.9,6415,benign
0,0,0,12403,pathogenic
49.8,67.3,57.1,10483,pathogenic
0.7,0.8,0.4,6484,benign
0.1,0.3,0.1,18483,benign
59,72.3,58.8,603,pathogenic
0.1,0.1,1.7,3097,benign
59,72.3,58.8,2260,benign
0.1,0.1,0.5,6547,pathogenic
82.8,91.5,77.9,23419,benign
58.5,78.1,66.7,11237,benign
0.1,0.1,1.7,7551,pathogenic
0.1,0.1,0.5,30213,pathogenic
0.1,0.1,0.8,17068,benign
0.1,0.3,0.2,2203,benign
0.1,4.3,3.2,11720,benign
59,72.3,58.8,6137,benign
0.9,1.7,1.2,939,pathogenic
0.5,0.1,0.5,23215,pathogenic
0.1,0.3,0.2,3583,benign
0.1,0.1,0.3,6547,pathogenic
0.5,0.1,0.5,7883,benign
0.5,0.1,0.1,16068,benign
0.1,0.1,0.5,930,pathogenic
3,0.3,0.1,2536,pathogenic
0.1,4.3,3.2,15889,benign
3,0.3,0.1,4832,pathogenic
1.5,0.1,0.7,7579,benign
5.7,0.1,1.9,6415,benign
0,0,0,14674,pathogenic
0.1,0.3,0.2,19194,benign
0.4,1.1,2.7,20125,benign
0.7,0.1,0.2,6294,pathogenic
0.1,4.3,3.2,6518,benign
0.5,0.9,0.5,10856,benign
0.1,0.1,0.5,57,pathogenic
0.1,4.3,3.2,6518,pathogenic
0,0,0,7530,pathogenic
4.6,6.2,3.9,22947,benign
0.4,1.1,2.7,29427,benign
5.7,0.1,1.9,15573,benign
0.1,0.1,1.7,6484,benign
0.1,0.3,0.2,23791,benign
4.6,6.2,3.9,8654,benign
0.1,0.3,0.8,15924,benign
3,0.3,0.1,10593,pathogenic
2.3,8.3,9.4,8975,benign
0,0,0,14558,pathogenic
8.4,11.7,7.5,8804,pathogenic
0.1,0.1,0.3,9438,benign
0.5,0.1,0.5,16636,benign
58.5,78.1,66.7,12340,benign
58.5,78.1,66.7,4057,pathogenic
0,0,0,7908,pathogenic
1.7,1.7,3.4,16255,benign
0.5,0.9,0.5,6547,pathogenic
5.7,0.1,1.9,21558,pathogenic
0.5,0.9,0.5,7551,pathogenic
0.1,0.1,0.5,16513,benign
2.1,5.9,1.7,25801,pathogenic
1.4,0.1,0.9,10596,pathogenic
3,0.3,0.1,9052,benign
49.8,67.3,57.1,6929,pathogenic
